z_angstrom,reference_electron_line_density_e_per_angstrom,displaced_electron_line_density_e_per_angstrom,electron_charge_difference_e_per_angstrom,cumulative_charge_difference_e,cumulative_dipole_difference_e_angstrom
-3.399722359430889,3.9071697576514843,3.9071163523554397,5.3405296044584105e-05,-6.386426402869288e-05,0.0003132967562211477
-3.318907474136205,4.0565289813884675,4.056493064941655,3.591644681222306e-05,-6.0961680499370444e-05,0.0003036633500513748
-3.23809258884152,4.23721036100497,4.2371687802096,4.15807953704217e-05,-5.760133329104807e-05,0.00029278223466017183
-3.1572777035468356,4.459427523634791,4.4593779035764145,4.9620058376831366e-05,-5.3591293965008906e-05,0.0002801214269057224
-3.0764628182521516,4.751222209920168,4.751192473638607,2.97362815606661e-05,-5.1188159781593235e-05,0.00027272827394317334
-2.995647932957467,5.169460702108712,5.16943980243255,2.0899676161256764e-05,-4.949915484992522e-05,0.0002676686098108671
-2.9148330476627824,5.793669884098168,5.793648574735552,2.1309362616683813e-05,-4.7777041154355084e-05,0.0002626489358991866
-2.834018162368098,6.680028450114574,6.6800229051937565,5.5449208176128195e-06,-4.73289290145116e-05,0.0002613789779560925
-2.753203277073414,7.785649009049357,7.785625309282506,2.3699766851237314e-05,-4.541363507491809e-05,0.00025610578440504484
-2.672388391778729,8.924419553524627,8.924409209805711,1.0343718916061562e-05,-4.457770861719612e-05,0.0002538718642430479
-2.591573506484045,9.829639850311493,9.82962816348754,1.168682395302767e-05,-4.363323927997302e-05,0.00025142420253101397
-2.5107586211893604,10.315976693110438,10.315930906051932,4.578705850555309e-05,-3.9932963398865746e-05,0.0002421337029617448
-2.429943735894676,10.400646722861032,10.400528187121639,0.00011853573939291095,-3.035351121650705e-05,0.0002188561731379197
-2.3491288505999917,10.258939945188692,10.258785250420425,0.00015469476826623918,-1.7851871263383152e-05,0.00018948821004422285
-2.2683139653053073,10.065129767573968,10.064846669626291,0.0002830979476762252,5.026656905231541e-06,0.0001375925250937233
-2.187499080010623,9.893847422887774,9.893443156651648,0.00040426623612610513,3.7697386406276505e-05,6.612533436691153e-05
-2.1066841947159385,9.751153563866756,9.750723891751043,0.0004296721157128758,7.242128915193691e-05,-7.026962726224611e-06
-2.0258693094212537,9.620234671283528,9.619738011789442,0.0004966594940860602,0.00011255876919701784,-8.834025170706205e-05
-1.9450544241265695,9.425757454074454,9.425239172933761,0.0005182811406925225,0.00015444360013248221,-0.00016980852742188045
