frequency_cm-1,normalized_intensity
8.194622279129321214e+02,3.614457831325301046e-02
8.215108834827144619e+02,2.409638554216867595e-02
8.235595390524968025e+02,2.409638554216867595e-02
8.256081946222791430e+02,1.204819277108433798e-02
8.276568501920614835e+02,1.204819277108433798e-02
8.297055057618438241e+02,1.204819277108433798e-02
8.317541613316261646e+02,1.204819277108433798e-02
8.338028169014085051e+02,1.204819277108433798e-02
8.358514724711907320e+02,1.204819277108433798e-02
8.379001280409730725e+02,1.204819277108433798e-02
8.399487836107554131e+02,1.204819277108433798e-02
8.419974391805377536e+02,1.204819277108433798e-02
8.440460947503200941e+02,1.204819277108433798e-02
8.460947503201024347e+02,1.204819277108433798e-02
8.481434058898847752e+02,1.204819277108433798e-02
8.501920614596671157e+02,1.204819277108433798e-02
8.522407170294494563e+02,1.204819277108433798e-02
8.542893725992317968e+02,1.204819277108433798e-02
8.563380281690141373e+02,1.204819277108433798e-02
8.583866837387963642e+02,1.204819277108433798e-02
8.604353393085787047e+02,1.204819277108433798e-02
8.624839948783610453e+02,1.204819277108433798e-02
8.645326504481433858e+02,1.204819277108433798e-02
8.665813060179257263e+02,1.204819277108433798e-02
8.686299615877080669e+02,1.204819277108433798e-02
8.706786171574904074e+02,1.204819277108433798e-02
8.727272727272727479e+02,1.204819277108433798e-02
8.747759282970550885e+02,1.204819277108433798e-02
8.768245838668374290e+02,1.204819277108433798e-02
8.788732394366197695e+02,1.204819277108433798e-02
8.809218950064019964e+02,1.204819277108433798e-02
8.829705505761843369e+02,1.204819277108433798e-02
8.850192061459666775e+02,1.204819277108433798e-02
8.870678617157490180e+02,1.204819277108433798e-02
8.891165172855313585e+02,1.204819277108433798e-02
8.911651728553136991e+02,1.204819277108433798e-02
8.932138284250960396e+02,1.204819277108433798e-02
8.952624839948783801e+02,1.204819277108433798e-02
8.973111395646607207e+02,1.204819277108433798e-02
8.993597951344430612e+02,1.204819277108433798e-02
9.014084507042254018e+02,1.204819277108433798e-02
9.034571062740076286e+02,1.204819277108433798e-02
9.055057618437899691e+02,1.204819277108433798e-02
9.075544174135723097e+02,1.204819277108433798e-02
9.096030729833546502e+02,1.204819277108433798e-02
9.116517285531369907e+02,1.204819277108433798e-02
9.137003841229193313e+02,1.204819277108433798e-02
9.157490396927016718e+02,1.204819277108433798e-02
9.177976952624840123e+02,1.204819277108433798e-02
9.198463508322663529e+02,1.204819277108433798e-02
9.218950064020486934e+02,1.204819277108433798e-02
9.239436619718310340e+02,1.204819277108433798e-02
9.259923175416132608e+02,1.204819277108433798e-02
9.280409731113956013e+02,1.204819277108433798e-02
9.300896286811779419e+02,1.204819277108433798e-02
9.321382842509602824e+02,1.204819277108433798e-02
9.341869398207426229e+02,1.204819277108433798e-02
9.362355953905249635e+02,1.204819277108433798e-02
9.382842509603073040e+02,1.204819277108433798e-02
9.403329065300896445e+02,1.204819277108433798e-02
9.423815620998719851e+02,1.204819277108433798e-02
9.444302176696543256e+02,1.204819277108433798e-02
9.464788732394366662e+02,1.204819277108433798e-02
9.485275288092190067e+02,1.204819277108433798e-02
